"producto","variedad","Precio Mayorista","Precio Minorista","Procedencia","observaciones","fecha","Mercado"
"Achojcha","Comun","0   Bs.-/Bolsa (2@)","6   Bs.-/3 Libras","Santa Cruz","","19/01/2013","Trinidad"
"Arveja","Verde (en vaina)","0   Bs.-/Bolsa (2@)","10   Bs.-/3 Libras","Santa Cruz","","19/01/2013","Trinidad"
"Azucar","Guabira","0   Bs.-/qq","8   Bs.-/Kilo","Santa Cruz","","19/01/2013","Trinidad"
"Brocoli","Bola verde","0   Bs.-/Canasta","6   Bs.-/Unidad","Santa Cruz","","19/01/2013","Trinidad"
"Cebolla","Blanca","0   Bs.-/Bolsa (8@)","75   Bs.-/Arroba (@)","Santa Cruz","","19/01/2013","Trinidad"
"Cebolla","Roja","0   Bs.-/Bolsa (8@)","45   Bs.-/Arroba (@)","Santa Cruz","","19/01/2013","Trinidad"
"Coliflor","Bola de nieve","0   Bs.-/Canasta","6   Bs.-/Unidad","Santa Cruz","","19/01/2013","Trinidad"
"Durazno","Criollo","0   Bs.-/Caja de 23 Kg","25   Bs.-/Kilo","Santa Cruz","","19/01/2013","Trinidad"
"Frejol","Carioca","0   Bs.-/qq","10   Bs.-/Kilo","Santa Cruz","","19/01/2013","Trinidad"
"Frejol","Mantecoso","0   Bs.-/qq","14   Bs.-/Kilo","Santa Cruz","","19/01/2013","Trinidad"
"Frejol","Negro","0   Bs.-/qq","12   Bs.-/Kilo","Santa Cruz","","19/01/2013","Trinidad"
"Frutilla","Sweet Charlie","0   Bs.-/Kilo","45   Bs.-/Kilo","Santa Cruz","","19/01/2013","Trinidad"
"Haba","Comun (en vaina)","0   Bs.-/Bolsa (2@)","10   Bs.-/3 Libras","Santa Cruz","","19/01/2013","Trinidad"
"Harina","de Trigo","0   Bs.-/qq","55   Bs.-/Arroba (@)","Santa Cruz","princesa","19/01/2013","Trinidad"
"Huevo","Criollo","0   Bs.-/100 U.","150   Bs.-/100 U.","Beni","","19/01/2013","Trinidad"
"Huevo","de Granja","0   Bs.-/100 U.","58   Bs.-/100 U.","Santa Cruz","segunda grandes","19/01/2013","Trinidad"
"Lechuga","Crespa","0   Bs.-/Canasta","3   Bs.-/Unidad","Santa Cruz","","19/01/2013","Trinidad"
"Lechuga","Escarola","0   Bs.-/Canasta","5   Bs.-/Unidad","Santa Cruz","","19/01/2013","Trinidad"
"Lima","Criolla","0   Bs.-/100 U.","12   Bs.-/25 U.","Santa Cruz","","19/01/2013","Trinidad"
"Limon","Amarillo","0   Bs.-/100 U.","10   Bs.-/25 U.","Santa Cruz","","19/01/2013","Trinidad"
"Locoto","Cochabambino","0   Bs.-/Arroba (@)","10   Bs.-/3 Libras","Santa Cruz","","19/01/2013","Trinidad"
"Maiz","Choclo","0   Bs.-/100 U.","24   Bs.-/Docena","Beni","","19/01/2013","Trinidad"
"Maiz","Duro","0   Bs.-/qq","3   Bs.-/Kilo","Santa Cruz","","19/01/2013","Trinidad"
"Maiz","Morocho (Culli)","0   Bs.-/qq","5   Bs.-/Kilo","Santa Cruz","","19/01/2013","Trinidad"
"Mandarina","Japonesa","0   Bs.-/100 U.","25   Bs.-/25 U.","Santa Cruz","","19/01/2013","Trinidad"
